"","site","beaver_territory","A_floodplain_km2","A_beaver_km2","date","time","season","DOC_input","DOC_out","delta_DOC","D_beaver_km2","D_catchment_km2"
"38","AP03",87,13.0739691080408,0.00136313,"2022-03-13","12:00:00","winter",2.406,2.423,0.0169999999999999,12.4712976752033,0.105094328175746
"39","AR03",104,11.1670356433359,0.0009215,"2022-06-15","08:30:00","summer",4.27927651757188,4.73440525778458,0.455128740212699,493.899880860227,0.0157854352042904
"40","AR03",104,11.1670356433359,0.0009215,"2022-03-24","12:00:00","winter",4.103,4.016,-0.0869999999999997,-94.4112859468255,0.0157854352042904
"41","ATB10_2",112,4.5480960780692,0.0133033,"2022-07-19","13:30:00","summer",2.03839050166549,3.33572573099415,1.29733522932866,97.5198055616772,-0.033334717589975
"42","ATB10_2",112,4.5480960780692,0.0133033,"2022-02-04","11:30:00","winter",2.19,1.437,-0.753,-56.6024971247736,-0.033334717589975
"43","ATB10_3",113,0.346606036418121,0.00353801,"2022-07-19","12:00:00","summer",3.2622039668921,2.68936961080863,-0.572834356083467,-161.908631146737,4.67159771256496
"44","ATB10_3",113,0.346606036418121,0.00353801,"2022-02-04","13:00:00","winter",1.643,1.53,-0.113,-31.938858284742,4.67159771256496
"45","BBN01",45,9.87279536114346,0.00211588,"2022-07-11","16:00:00","summer",2.377,3.849,1.472,695.691627124412,0.0717122126106744
"46","BBN01",45,9.87279536114346,0.00211588,"2022-04-30","09:15:00","winter",1.669,1.65,-0.0190000000000001,-8.97971529576351,0.0717122126106744
"47","BBS02",40,3.25080679572945,0.00695765,"2022-07-11","10:45:00","summer",1.711,1.657,-0.054,-7.76124122368903,-0.015996029068326
"48","BBS02",40,3.25080679572945,0.00695765,"2022-03-27","11:43:00","winter",1.763,1.696,-0.067,-9.62968818494751,-0.015996029068326
"49","BF01",114,3.79982443636924,0.0021072,"2022-07-06","16:00:00","summer",1.29414081632653,3.21623994169096,1.92209912536443,912.157899280766,-0.00417366221493739
"50","BF01",114,3.79982443636924,0.0021072,"2022-02-06","10:00:00","winter",1.31,1.275,-0.0350000000000001,-16.6097190584663,-0.00417366221493739
"51","BI01",102,0.313350549531903,0.0029444,"2022-06-14","09:30:00","summer",3.16936186830015,3.21204486983155,0.0426830015313939,14.4963325402099,4.83599556651126
"52","BI01",102,0.313350549531903,0.0029444,"2022-04-19","08:00:00","winter",1.654,1.616,-0.0379999999999998,-12.9058551827197,4.83599556651126
"53","BI02",141,1.40090849835903,0.11154173,"2022-07-14","16:00:00","summer",2.311,4.662,2.351,21.0773133965199,0.0913692793997141
"54","BI02",141,1.40090849835903,0.11154173,"2022-04-19","08:35:00","winter",2.183,3.042,0.859,7.70115363998747,0.0913692793997141
"55","BIB02",90,0.125031058265582,0.00370897,"2022-07-25","13:30:00","summer",1.792,1.491,-0.301,-81.1546062653513,3.69508189732069
"56","BIB02",90,0.125031058265582,0.00370897,"2022-03-12","17:45:00","winter",1.33,1.322,-0.00800000000000001,-2.15693305688642,3.69508189732069
"57","BK02",2,0.999164847671413,1.497e-05,"2022-07-01","11:45:00","summer",6.036,5.52,-0.516,-34468.9378757515,4.75096778180602
"58","BK02",2,0.999164847671413,1.497e-05,"2022-01-31","10:15:00","winter",1.289,1.268,-0.0209999999999999,-1402.80561122244,4.75096778180602
"59","BM03",1,2.21513464295294,0.00095975,"2022-07-01","10:45:00","summer",4.274,3.831,-0.443,-461.578536077103,1.4932275157733
"60","BM03",1,2.21513464295294,0.00095975,"2022-03-08","13:04:00","winter",0.9663,0.8332,-0.1331,-138.681948424069,1.4932275157733
