"beaver_territory","x_upstream","x_downstream","y_upstream","y_downstream","date","time","site","season","DOC_input","DOC_out","delta_DOC","dam_persistence","n_dams","slope","water_volume","solar","dam_height","discharge","catchment_area_km","area_m6_revier","area_m2_revier","Cover_litter","plankton_abun","macrophy_abun","plankton_abun_z","cover_litter_z","macrophy_abun_z","water_res_time","DOC_input_z","dam_height_z","slope_z","discharge_z","water_volume_z","water_res_time_z","solar_z","dam_persistence_z","n_dams_z"
56,7.921,7.922,47.242,47.243,2022-03-26,17:25:00,"AGWI01","winter",1.272,1.417,0.145,7,2,1.17762614052873,690.299999999999,3548.85780552455,1.4,11.3101130310185,1.01054164,6647.85,NA,NA,NA,NA,NA,NA,NA,61.0338727921479,-0.759541779006119,0.875571506776417,-0.0265459121295557,-0.47711619231363,0.160672874441943,-0.131046380857551,-0.827463989604849,0.214137092786231,-0.267283929688721
95,8.273,8.272,47.604,47.606,2022-07-25,14:00:00,"AL01","summer",1.326,2.117,0.791,6,2,0.957970037841491,356.2,6845.07593623112,1.3,5.20919579351852,2.52850852,1688.56,NA,NA,NA,NA,NA,NA,NA,68.3790769475775,-0.733107650032712,0.683224734347374,-0.176261348729845,-0.560857867222199,-0.370913900896232,-0.118424959331693,0.826552450560138,-0.0131873282947531,-0.267283929688721
95,8.273,8.272,47.604,47.606,2022-03-18,12:00:00,"AL01","winter",1.643,3.887,2.244,6,2,0.957970037841491,356.2,3448.06569997623,1.3,20.4856014351852,2.52850852,1688.56,NA,NA,NA,NA,NA,NA,NA,17.3878224238126,-0.577929522540678,0.683224734347374,-0.176261348729845,-0.351172709201585,-0.370913900896232,-0.206044323458013,-0.878040678708864,-0.0131873282947531,-0.267283929688721
125,7.579,7.579,46.728,46.728,2022-07-20,13:30:00,"AM01","summer",7.79172047037448,8.0871237206016,0.295403250227113,3,1,1.089111747851,18.5,7429.84031211038,0.6,14.7478257638889,4.24737382,91.68,NA,NA,NA,NA,NA,NA,NA,1.25442219729084,2.43199769848346,-0.66320267265593,-0.0868764505622826,-0.429929874109609,-0.908228639093485,-0.233766690405947,1.11998263417477,-0.695160591537707,-0.648216144441937
125,7.579,7.583,46.728,46.728,2022-03-23,16:00:00,"AM01","winter",7.123,7.337,0.213999999999998,3,1,1.089111747851,18.5,4562.54211969887,0.6,27.1851588247685,4.24737382,91.68,NA,NA,NA,NA,NA,NA,NA,0.680518371043857,2.10464504735316,-0.66320267265593,-0.0868764505622826,-0.259214051985038,-0.908228639093485,-0.234752841635114,-0.318805140494553,-0.695160591537707,-0.648216144441937
87,9.01,9.008,47.597,47.596,2022-07-22,11:45:00,"AP03","summer",3.78,5.605,1.825,3,1,0.265419091967396,384.899999999999,6904.81825638392,1.35,9.32407147222222,14.64726864,1363.13,NA,NA,NA,NA,NA,NA,NA,41.2802498507945,0.468176655536536,0.779398120561896,-0.648297253769643,-0.504376756602121,-0.325249308103041,-0.16498945398798,0.856530678877555,-0.695160591537707,-0.648216144441937
87,9.01,9.008,47.597,47.596,2022-03-13,12:00:00,"AP03","winter",2.406,2.423,0.0169999999999999,3,1,0.265419091967396,384.899999999999,3516.68890291845,1.35,103.581957627778,14.64726864,1363.13,NA,NA,NA,NA,NA,NA,NA,3.71589810440867,-0.204425070564583,0.779398120561896,-0.648297253769643,0.789414480474532,-0.325249308103041,-0.229537083666355,-0.843606092967756,-0.695160591537707,-0.648216144441937
104,7.006,7.008,46.793,46.794,2022-06-15,08:30:00,"AR03","summer",4.27927651757188,4.73440525778458,0.455128740212699,8,1,1.4251501738855,30.6999999999999,6510.03006966309,NA,62.0721728753472,23.62570809,921.5,NA,NA,NA,NA,NA,NA,NA,0.494585553846349,0.712582949219655,NA,0.142164031594797,0.219647875725914,-0.888817209404393,-0.235072333974835,0.658429058982877,0.441461513867216,-0.648216144441937
104,7.006,7.008,46.793,46.794,2022-03-24,12:00:00,"AR03","winter",4.103,4.016,-0.0869999999999997,8,1,1.4251501738855,30.6999999999999,2983.5884336541,NA,167.895657028472,23.62570809,921.5,NA,NA,NA,NA,NA,NA,NA,0.182851662415507,0.626291908470059,NA,0.142164031594797,1.67218943016182,-0.888817209404393,-0.235607992993207,-1.11111173290363,0.441461513867216,-0.648216144441937
112,7.554,7.549,46.864,46.869,2022-07-19,13:30:00,"ATB10_2","summer",2.03839050166549,3.33572573099415,1.29733522932866,3,1,0.439549925165713,385.699999999999,6055.05310725443,0.5,28.2008053059028,13.02967689,13303.3,NA,NA,NA,NA,NA,NA,NA,13.6769143936208,-0.384377605579837,-0.855549445084973,-0.52961139255786,-0.245273207660451,-0.32397642746769,-0.21242085615903,0.430125182880194,-0.695160591537707,-0.648216144441937
112,7.554,7.549,46.864,46.869,2022-02-04,11:30:00,"ATB10_2","winter",2.19,1.437,-0.753,3,1,0.439549925165713,385.699999999999,1590.85576013887,0.5,130.145962454514,13.02967689,13303.3,NA,NA,NA,NA,NA,NA,NA,2.96359558703023,-0.310161586458209,-0.855549445084973,-0.52961139255786,1.15403412205842,-0.32397642746769,-0.230829781185155,-1.80997407981249,-0.695160591537707,-0.648216144441937
113,7.553,7.548,46.876,46.879,2022-07-19,12:00:00,"ATB10_3","summer",3.2622039668921,2.68936961080863,-0.572834356083467,3,1,0.312276476723241,321.3,6386.59911542694,0.15,1.92033156435185,0.34280299,3538.01,NA,NA,NA,NA,NA,NA,NA,167.314856436495,0.2147046718126,-1.52876314858662,-0.616359721732766,-0.606001079033765,-0.42644331861339,0.0515785083045215,0.596492372927431,-0.695160591537707,-0.648216144441937
113,7.552,7.542,46.876,46.89,2022-02-04,13:00:00,"ATB10_3","winter",1.643,1.53,-0.113,3,1,0.312276476723241,321.3,1690.06306786651,0.15,3.80495448391204,0.34280299,3538.01,NA,NA,NA,NA,NA,NA,NA,84.4425344267608,-0.577929522540678,-1.52876314858662,-0.616359721732766,-0.580132595048279,-0.42644331861339,-0.0908227765036497,-1.76019262984187,-0.695160591537707,-0.648216144441937
45,8.508,8.507,47.685,47.686,2022-07-11,16:00:00,"BBN01","summer",2.377,3.849,1.472,17,1,0.232540842921626,232.8,8483.12249176725,0.4,15.8927051388889,4.318018,2115.88,NA,NA,NA,NA,NA,NA,NA,14.6482299876279,-0.218621176865117,-1.04789621751402,-0.67070674456148,-0.414215168812268,-0.567255738899018,-0.210751823782641,1.64851138203159,2.48738130359608,-0.648216144441937
45,8.507,8.506,47.685,47.687,2022-04-30,09:15:00,"BBN01","winter",1.669,1.65,-0.0190000000000001,17,1,0.232540842921626,232.8,7309.43261378589,0.4,33.3346991435185,4.318018,2115.88,NA,NA,NA,NA,NA,NA,NA,6.98371384717491,-0.56520197896089,-1.04789621751402,-0.67070674456148,-0.174804972798624,-0.567255738899018,-0.223921925927302,1.05956299425596,2.48738130359608,-0.648216144441937
40,8.5,8.499,47.76,47.758,2022-07-11,10:45:00,"BBS02","summer",1.711,1.657,-0.054,3,2,1.85245877664435,205.6,7209.60318346082,1.3,41.65665455,16.58587536,6957.65,NA,NA,NA,NA,NA,NA,NA,4.93558597590262,-0.544642100870463,0.683224734347374,0.433413367454103,-0.0605771514524117,-0.610533680500929,-0.227441267889101,1.00946936803877,-0.695160591537707,-0.267283929688721
40,8.5,8.499,47.76,47.758,2022-03-27,11:43:00,"BBS02","winter",1.763,1.696,-0.067,3,2,1.85245877664435,205.6,4587.86791933477,1.3,102.70189025,16.58587536,6957.65,NA,NA,NA,NA,NA,NA,NA,2.00191057340349,-0.519187013710886,0.683224734347374,0.433413367454103,0.777334605698571,-0.610533680500929,-0.232482265129132,-0.306096852603083,-0.695160591537707,-0.267283929688721
114,7.255,7.254,46.932,46.932,2022-07-06,16:00:00,"BF01","summer",1.29414081632653,3.21623994169096,1.92209912536443,3,3,2.85339178179244,317.1,5929.49055979142,2,8.6461714,3.89077713,2107.2,NA,NA,NA,NA,NA,NA,NA,36.6751924441378,-0.748703386518119,2.02965214135068,1.11563944740401,-0.513681666873579,-0.433125941948979,-0.172902422702025,0.367118880039339,-0.695160591537707,0.113648285064496
114,7.256,7.253,46.932,46.932,2022-02-06,10:00:00,"BF01","winter",1.31,1.275,-0.0350000000000001,3,3,2.85339178179244,317.1,1209.54675496387,2,34.449589171875,3.89077713,2107.2,NA,NA,NA,NA,NA,NA,NA,9.20475418205811,-0.740939984543351,2.02965214135068,1.11563944740401,-0.159501903656894,-0.433125941948979,-0.220105464778054,-2.00131195198396,-0.695160591537707,0.113648285064496
102,7.129,7.129,46.877,46.879,2022-06-14,09:30:00,"BI01","summer",3.16936186830015,3.21204486983155,0.0426830015313939,3,1,1.30718604179349,237.3,7514.89151116171,0.6,6.39559612280093,1.84809199,2944.4,NA,NA,NA,NA,NA,NA,NA,37.1036562415194,0.169256523509986,-0.66320267265593,0.0617608407739347,-0.544573242006254,-0.560095785325173,-0.17216618418763,1.16266065969018,-0.695160591537707,-0.648216144441937
102,7.129,7.129,46.877,46.879,2022-04-19,08:00:00,"BI01","winter",1.654,1.616,-0.0379999999999998,3,1,1.30718604179349,237.3,6051.26059092877,0.6,10.951656237037,1.84809199,2944.4,NA,NA,NA,NA,NA,NA,NA,21.6679555004186,-0.572544792564614,-0.66320267265593,0.0617608407739347,-0.482036398758304,-0.560095785325173,-0.198689679175365,0.428222127893087,-0.695160591537707,-0.648216144441937
141,7.137,7.161,46.892,46.898,2022-07-14,16:00:00,"BI02","summer",2.311,4.662,2.351,3,3,0.316553494573906,486.599999999999,7355.90734774901,1.2,20.4799395671296,8.23007804,111541.73,NA,NA,NA,NA,NA,NA,NA,23.7598357360875,-0.250929556721502,0.49087796191833,-0.61344454848228,-0.351250424452527,-0.163434357334132,-0.195095156589295,1.08288365174255,-0.695160591537707,0.113648285064496
141,7.133,7.16,46.889,46.898,2022-04-19,08:35:00,"BI02","winter",2.183,3.042,0.859,3,3,0.316553494573906,486.599999999999,5805.34309280656,1.2,47.6277664351852,8.23007804,111541.73,NA,NA,NA,NA,NA,NA,NA,10.2167293665176,-0.313588232806614,0.49087796191833,-0.61344454848228,0.0213828048732322,-0.163434357334132,-0.218366566157063,0.304822653498718,-0.695160591537707,0.113648285064496
90,8.647,8.651,47.788,47.787,2022-07-25,13:30:00,"BIB02","summer",1.792,1.491,-0.301,11,4,6.89845419257325,102.6,6679.69129964244,1.2,1.396859575,1.11748766,3708.97,NA,NA,NA,NA,NA,NA,NA,73.4504755068168,-0.504990907410353,0.49087796191833,3.87271415416864,-0.613186297165655,-0.774417062302283,-0.109710666633038,0.743563735304891,1.12343477711017,0.494580499817712
90,8.647,8.651,47.788,47.787,2022-03-12,17:45:00,"BIB02","winter",1.33,1.322,-0.00800000000000001,11,4,6.89845419257325,102.6,3099.39167196709,1.2,7.16537226435185,1.11748766,3708.97,NA,NA,NA,NA,NA,NA,NA,14.3188652612567,-0.731149566405053,0.49087796191833,3.87271415416864,-0.534007233504794,-0.774417062302283,-0.211317778242083,-1.05300257495389,1.12343477711017,0.494580499817712
