"site","p_sink","p_rope","p_source","med","lo","hi","class"
"BI01",0,0.9985,0.0015,0.0867344973269357,-0.0982792147453313,0.289657454192986,"negligible"
"BI02",0,0.9845,0.0155,0.171754919746661,-0.02259938526208,0.420030375170808,"negligible"
"BIB02",0,0.999,0.001,0.0812374737359874,-0.119544048425651,0.279886095018214,"negligible"
"Biber",5e-04,0.9995,0,-0.0504331481501026,-0.2600444169466,0.149523433276269,"negligible"
"BK02",5e-04,0.9995,0,-0.0359992252023688,-0.254858097636772,0.163728943504216,"negligible"
"BM03",0,0.9995,5e-04,0.0123675163173114,-0.208208641010158,0.20170592514167,"negligible"
"BR01",0,1,0,-0.0327718684194643,-0.244392558388186,0.165708704764319,"negligible"
"BY01",0.0115,0.9885,0,-0.11902218617436,-0.356898403115735,0.106121208969891,"negligible"
"CA01",0,0.998,0.002,0.0806437737531826,-0.113106086129174,0.292233367950388,"negligible"
"CB01",0.005,0.995,0,-0.112390258297827,-0.344386845427923,0.103169281789915,"negligible"
"CDS02",0,0.978,0.022,0.245461641394856,0.0378720157001308,0.452622298225312,"negligible"
"CH02",0,0.9985,0.0015,0.0839890573436311,-0.102890263513455,0.275015890426371,"negligible"
"CH03",0,0.999,0.001,0.0373754393294999,-0.156171234665719,0.248384623643196,"negligible"
"CH04",0,0.9985,0.0015,0.0893305475882666,-0.106705770740807,0.292036210602506,"negligible"
"CHRB01",0,0.997,0.003,0.0794846351289262,-0.15131496716062,0.315230614087886,"negligible"
"Chriesbach",0,0.996,0.004,0.107879949382288,-0.0952387321413591,0.322815741045081,"negligible"
"Coruz",0.001,0.999,0,-0.0105912220342247,-0.227752811988095,0.200331927965377,"negligible"
"CR02",0,0.9985,0.0015,0.0807746876476474,-0.130129991182579,0.27747436337253,"negligible"
"CRA02",0.0015,0.998,5e-04,-0.0678397206206564,-0.283183131203858,0.141918813895469,"negligible"
"CRB01",0,1,0,0.0351234877321576,-0.179406308553044,0.229656418205301,"negligible"
"CX01",0,0.9945,0.0055,0.114275535019982,-0.0786059094307123,0.34356335104292,"negligible"
"CX03_2",0,0.9995,5e-04,0.00285132323753619,-0.206576775414716,0.192420875825957,"negligible"
"CX03_3",0,0.999,0.001,0.0791609801268818,-0.112332925661882,0.289544702492595,"negligible"
"CZ01_1",0,0.9995,5e-04,0.0720394632953715,-0.13742913969234,0.269441022643436,"negligible"
"CZ01_2",0,0.9935,0.0065,0.132480105002773,-0.0666618043513275,0.362319594149123,"negligible"
