"effect","mean","lo90","hi90","lo95","hi95","p_pos"
"Number of dams",0.00280725733549559,-0.00153042920737573,0.0096857321668325,-0.00252806630659223,0.0116892133842091,0.817
"Max dam height",0.00130519843346876,-0.00256130558074275,0.00681199346302108,-0.00366711600098283,0.00869206508929618,0.675964285714286
"Beaver engineering (dams + height)",0.00411245576896434,-0.00205432156645516,0.0136372107259925,-0.0035099191745494,0.0165606873359709,0.829071428571429
"Water residence time",0.0442596582282441,-0.019229310504684,0.110488755358173,-0.0302539701398152,0.123570329855875,0.871607142857143
"Channel gradient",-0.00374178116911787,-0.0120955086547261,0.00176485062812274,-0.0143207291511192,0.00291495615462086,0.164571428571429
"Solar radiation",0.0364911235788687,0.008055640917448,0.06967583929236,0.0033866635876355,0.0768223797217225,0.986
"Upstream DOC",-0.102988336258196,-0.15777225,-0.047307715,-0.1686189,-0.036101665,0.00114285714285714
